lexicon,word,homophones,mps,neighbors,length,numthatshareletter1,numthatshareletter2,numthatshareletter3,numthatshareletter4,numthatshareletter5
8,IlOpr,0,0.0,0.0,5,112,7,1,1,1
8,niEbpdI,0,0.0,0.0,7,268,19,2,1,1
8,npeaz,0,0.0,0.0,5,268,6,1,1,1
8,lfSena,0,0.0,0.0,6,245,7,1,1,1
8,tauaku&,0,0.0,0.0,7,299,15,1,1,1
8,d@&tmts,0,0.0,0.0,7,75,6,1,1,1
8,rrtgmu,0,0.0,0.0,6,311,30,3,1,1
8,ri&@k,0,0.0,0.0,5,311,12,1,1,1
8,brvlxO,0,0.0,0.0,6,107,9,1,1,1
8,@gva,0,0.0,0.0,4,301,8,1,1,0
8,@Eee,0,0.0,0.0,4,301,12,1,1,0
8,SmgsdS,0,0.0,0.0,6,124,5,1,1,1
8,aorI,0,0.0,0.0,4,170,2,1,1,0
8,rnaYsg,0,0.0,0.0,6,311,26,3,1,1
8,rEnlO,0,0.0,0.0,5,311,13,2,1,1
8,&s&zk,0,0.0,0.0,5,173,6,1,1,1
8,Evzt,0,0.0,0.0,4,100,4,1,1,0
8,tne)@t,0,0.0,0.0,6,299,13,1,1,1
8,Iefi&,0,0.0,0.0,5,112,3,1,1,1
8,rv&il,0,0.0,0.0,5,311,4,1,1,1
8,tSUp,0,0.0,0.0,4,299,16,1,1,0
8,Iain,0,0.0,0.0,4,112,7,1,1,0
8,bsplU@,0,0.0,0.0,6,107,2,1,1,1
8,urtk,0,2.0,2.0,4,69,10,1,1,0
8,&ttliz,0,0.0,0.0,6,173,10,2,1,1
8,&Eam,0,0.0,0.0,4,173,3,1,1,0
8,atrO,0,0.0,0.0,4,170,11,1,1,0
8,mmxl@r,0,0.0,0.0,6,141,6,1,1,1
8,fUEnm,0,0.0,0.0,5,104,3,1,1,1
8,Er=kna,0,0.0,0.0,6,100,12,2,1,1
8,@g@t,0,0.0,1.0,4,301,8,1,1,0
8,frslI,0,0.0,0.0,5,104,12,1,1,1
8,onuid,0,0.0,0.0,5,104,5,2,1,1
8,llmrgu,0,0.0,0.0,6,245,22,2,1,1
8,g@nn,0,0.0,0.0,4,87,10,1,1,0
8,lkzrk,0,0.0,0.0,5,245,12,1,1,1
8,tan&k,0,0.0,0.0,5,299,15,1,1,1
8,mNgdr,0,0.0,0.0,5,141,1,1,1,1
8,uguag,0,0.0,0.0,5,69,3,1,1,1
8,baSf,0,1.0,1.0,4,107,4,1,1,0
8,@@EaIp,0,0.0,0.0,6,301,28,2,1,1
8,v@mz,0,0.0,0.0,4,66,2,1,1,0
8,mttmna,0,0.0,0.0,6,141,15,2,1,1
8,Irzlm,0,0.0,0.0,5,112,13,1,1,1
8,Sksr,0,0.0,0.0,4,124,5,1,1,0
8,ta=l,0,2.0,2.0,4,299,15,2,1,0
8,pitn,0,1.0,1.0,4,112,3,2,1,0
8,ObutnU,0,0.0,0.0,6,82,2,1,1,1
8,zu@n,0,0.0,0.0,4,71,2,1,1,0
8,kkfln,0,0.0,0.0,5,198,8,1,1,1
8,opem,0,0.0,0.0,4,104,2,1,1,0
8,mrklO,0,0.0,0.0,5,141,8,3,1,1
8,prdurd,0,0.0,0.0,6,112,8,1,1,1
8,rr@@n,0,0.0,1.0,5,311,30,2,2,1
8,bdrvne,0,0.0,0.0,6,107,3,1,1,1
8,tno@,0,0.0,1.0,4,299,13,1,1,0
8,iirtY,0,0.0,0.0,5,178,9,4,1,1
8,yyr@,0,0.0,0.0,4,45,2,2,1,0
8,llIeav,0,0.0,0.0,6,245,22,2,1,1
8,bgns,0,0.0,0.0,4,107,4,1,1,0
8,frtp=,0,0.0,0.0,5,104,12,1,1,1
8,rikao,0,0.0,0.0,5,311,12,2,1,1
8,miE@,0,0.0,1.0,4,141,5,1,1,0
8,tsaiiS,0,0.0,0.0,6,299,5,1,1,1
8,gSu@r,0,0.0,0.0,5,87,4,1,1,1
8,mU@a,0,0.0,0.0,4,141,4,1,1,0
8,mpblNo,0,0.0,0.0,6,141,4,1,1,1
8,Sfila,0,0.0,0.0,5,124,3,2,1,1
8,mrrnO,0,0.0,0.0,5,141,8,2,1,1
8,r@kt,0,0.0,2.0,4,311,30,2,1,0
8,tritkn,0,0.0,0.0,6,299,26,1,1,1
8,@irEmg,0,0.0,0.0,6,301,6,1,1,1
8,plm&,0,0.0,0.0,4,112,12,1,1,0
8,OkoEU@,0,0.0,0.0,6,82,1,1,1,1
8,lfns,0,0.0,0.0,4,245,7,1,1,0
8,ikd@gn,0,0.0,0.0,6,178,9,2,1,1
8,)aaOz,0,0.0,0.0,5,22,1,1,1,1
8,eSItka,0,0.0,0.0,6,72,3,1,1,1
8,lExyit,0,0.0,0.0,6,245,8,1,1,1
8,&nSrt,0,0.0,0.0,5,173,11,1,1,1
8,Sia&l,0,0.0,0.0,5,124,6,1,1,1
8,Yalv,0,0.0,0.0,4,30,2,1,1,0
8,I@&h,0,1.0,1.0,4,112,10,2,1,0
8,bfIx,0,0.0,0.0,4,107,4,1,1,0
8,Nvlr,0,0.0,0.0,4,37,1,1,1,0
8,oruI,0,0.0,1.0,4,104,12,1,1,0
8,&brra,0,0.0,0.0,5,173,6,2,1,1
8,Orik,0,0.0,0.0,4,82,5,1,1,0
8,e@oIt,0,0.0,0.0,5,72,3,1,1,1
8,i@u@r,0,0.0,0.0,5,178,13,1,1,1
8,rmur,0,0.0,0.0,4,311,12,1,1,0
8,pnntu,0,0.0,0.0,5,112,9,1,1,1
8,@rspn,0,0.0,0.0,5,301,26,2,1,1
8,mnolE,0,0.0,0.0,5,141,7,1,1,1
8,&trt,0,1.0,1.0,4,173,10,1,1,0
8,lfrl@&,0,0.0,0.0,6,245,7,2,1,1
8,xEid,0,0.0,0.0,4,56,2,1,1,0
8,vm@gEm,0,0.0,0.0,6,66,2,1,1,1
8,tilS,0,0.0,0.0,4,299,13,1,1,0
8,lttn,0,1.0,1.0,4,245,13,1,1,0
8,iEml,0,0.0,0.0,4,178,4,1,1,0
8,&ptk,0,0.0,0.0,4,173,7,1,1,0
8,amEI,0,0.0,0.0,4,170,5,1,1,0
8,@utp,0,1.0,1.0,4,301,7,2,1,0
8,spOr,0,0.0,0.0,4,93,2,1,1,0
8,SyY&,0,0.0,0.0,4,124,2,1,1,0
8,nmuO@m,0,0.0,0.0,6,268,15,1,1,1
8,kirn,0,2.0,3.0,4,198,7,2,1,0
8,@obS,0,0.0,0.0,4,301,12,1,1,0
8,i@mee,0,0.0,0.0,5,178,13,2,1,1
8,Uasliy,0,0.0,0.0,6,61,2,1,1,1
8,at&@l,0,0.0,0.0,5,170,11,1,1,1
8,O@nnE,0,0.0,0.0,5,82,8,1,1,1
8,oskO,0,0.0,0.0,4,104,3,1,1,0
8,lumUt,0,0.0,0.0,5,245,5,1,1,1
8,mrkk,0,1.0,1.0,4,141,8,3,1,0
8,mtdtrr,0,0.0,0.0,6,141,15,1,1,1
8,@fEyNy,0,0.0,0.0,6,301,9,1,1,1
8,trvI@,0,0.0,0.0,5,299,26,1,1,1
8,y@i@ru,0,0.0,0.0,6,45,3,1,1,1
8,atgtn,0,0.0,0.0,5,170,11,1,1,1
8,kvta,0,0.0,0.0,4,198,4,1,1,0
8,=Ezn,0,0.0,0.0,4,51,3,1,1,0
8,SiONSr,0,0.0,0.0,6,124,6,1,1,1
8,srb&l,0,0.0,0.0,5,93,10,1,1,1
8,zl@Sr,0,0.0,0.0,5,71,7,1,1,1
8,btdENa,0,0.0,0.0,6,107,8,1,1,1
8,xl=rI,0,0.0,0.0,5,56,4,1,1,1
8,rl&gme,0,0.0,0.0,6,311,19,1,1,1
8,axktrE,0,0.0,0.0,6,170,2,1,1,1
8,buts,0,1.0,1.0,4,107,4,2,1,0
8,bImE,0,0.0,0.0,4,107,3,1,1,0
8,=ktf@,0,0.0,0.0,5,51,2,1,1,1
8,Ets@,0,0.0,0.0,4,100,7,1,1,0
8,Ikrh,0,0.0,0.0,4,112,3,1,1,0
8,Sr@pli,0,0.0,0.0,6,124,17,2,1,1
8,ototO,0,0.0,0.0,5,104,7,1,1,1
8,iipk,0,0.0,0.0,4,178,9,1,1,0
8,lyl&tg,0,0.0,0.0,6,245,4,1,1,1
8,&hnort,0,0.0,0.0,6,173,5,2,1,1
8,txOy=,0,0.0,0.0,5,299,6,2,1,1
8,mmdzg,0,0.0,0.0,5,141,6,1,1,1
8,hrEndv,0,0.0,0.0,6,42,2,2,1,1
8,@@op,0,1.0,1.0,4,301,28,2,1,0
8,xOEh@s,0,0.0,0.0,6,56,3,1,1,1
8,@ttz&,0,0.0,0.0,5,301,23,3,1,1
8,lOnlvU,0,0.0,0.0,6,245,10,3,1,1
8,diyIx,0,0.0,0.0,5,75,4,1,1,1
8,lltapa,0,0.0,0.0,6,245,22,1,1,1
8,nOtll,0,0.0,0.0,5,268,9,4,1,1
8,urzb,0,1.0,1.0,4,69,10,1,1,0
8,ntr&,0,2.0,4.0,4,268,23,3,1,0
8,ureOS,0,0.0,0.0,5,69,10,1,1,1
8,fSrisn,0,0.0,0.0,6,104,11,1,1,1
8,Iots,0,1.0,1.0,4,112,2,1,1,0
8,ugUI,0,0.0,0.0,4,69,3,1,1,0
8,iattvO,0,0.0,0.0,6,178,9,1,1,1
8,l&rms,0,0.0,0.0,5,245,11,1,1,1
8,ukos,0,0.0,0.0,4,69,2,1,1,0
8,@stp,0,1.0,1.0,4,301,9,1,1,0
8,lErr,0,1.0,2.0,4,245,8,1,1,0
8,itit,0,1.0,2.0,4,178,12,1,1,0
8,uIIz,0,0.0,0.0,4,69,4,1,1,0
8,Eiia&l,0,0.0,0.0,6,100,6,1,1,1
8,ti@fek,0,0.0,0.0,6,299,13,3,1,1
8,lreggn,0,0.0,0.0,6,245,20,1,1,1
8,aruS,0,0.0,0.0,4,170,12,2,1,0
8,hsEr,0,0.0,0.0,4,42,2,1,1,0
8,&@aIY,0,0.0,0.0,5,173,11,3,1,1
8,kzom,0,0.0,0.0,4,198,3,1,1,0
8,@EsnI,0,0.0,0.0,5,301,12,1,1,1
8,napid,0,0.0,0.0,5,268,12,1,1,1
8,ilth@,0,0.0,0.0,5,178,10,1,1,1
8,UuZne,0,0.0,0.0,5,61,3,1,1,1
8,EkrtEo,0,0.0,0.0,6,100,3,2,1,1
8,tdiUEr,0,0.0,0.0,6,299,4,1,1,1
8,Ivznpt,0,0.0,0.0,6,112,2,2,1,1
8,&zb@it,0,0.0,0.0,6,173,1,1,1,1
8,@srv,0,0.0,0.0,4,301,9,2,1,0
8,n&il,0,0.0,0.0,4,268,8,1,1,0
8,r&Ei@,0,1.0,1.0,5,311,13,1,1,1
8,Sll@@y,0,0.0,0.0,6,124,11,2,1,1
8,msdkl,0,0.0,0.0,5,141,4,1,1,1
8,bnmntU,0,0.0,0.0,6,107,7,1,1,1
8,ib@f,0,1.0,1.0,4,178,5,1,1,0
8,n@mmOs,0,0.0,0.0,6,268,11,1,1,1
8,Srvr&,0,0.0,0.0,5,124,17,1,1,1
8,xr=fp,0,0.0,0.0,5,56,3,1,1,1
8,&OfO,0,0.0,0.0,4,173,4,1,1,0
8,Utip,0,1.0,1.0,4,61,5,1,1,0
8,n@ldn=,0,0.0,0.0,6,268,11,4,1,1
8,pls@r,0,0.0,0.0,5,112,12,1,1,1
8,km@i,0,0.0,0.0,4,198,9,1,1,0
8,EiaNt),0,0.0,0.0,6,100,6,1,1,1
8,rhh@,0,1.0,1.0,4,311,2,1,1,0
8,i@t&,0,1.0,2.0,4,178,13,2,1,0
8,xkn=i,0,0.0,0.0,5,56,4,2,1,1
8,littOz,0,0.0,0.0,6,245,10,1,1,1
8,Epl@,0,0.0,0.0,4,100,4,1,1,0
8,@Errr,0,0.0,0.0,5,301,12,1,1,1
8,i@&m,0,0.0,0.0,4,178,13,1,1,0
8,umrnS,0,0.0,0.0,5,69,1,1,1,1
8,=SUtg,0,0.0,0.0,5,51,2,1,1,1
8,EUo@rE,0,0.0,0.0,6,100,2,1,1,1
8,&fE@i,0,0.0,0.0,5,173,9,1,1,1
8,admE@@,0,0.0,0.0,6,170,7,1,1,1
8,lkySl,0,0.0,0.0,5,245,12,1,1,1
8,gsrZE,0,0.0,0.0,5,87,2,1,1,1
8,eSfrl,0,0.0,0.0,5,72,3,1,1,1
8,@aNNl,0,0.0,0.0,5,301,14,1,1,1
8,vgdr,0,0.0,0.0,4,66,4,1,1,0
8,d+@l,0,0.0,0.0,4,75,1,1,1,0
8,iIrzI@,0,0.0,0.0,6,178,5,1,1,1
8,ae&@,0,1.0,1.0,4,170,3,1,1,0
8,ualfaa,0,0.0,0.0,6,69,2,1,1,1
8,aNfn,0,0.0,0.0,4,170,2,1,1,0
8,r@xE,0,1.0,1.0,4,311,30,1,1,0
8,m&rit,0,0.0,0.0,5,141,6,1,1,1
8,i@za,0,0.0,0.0,4,178,13,1,1,0
8,nYIh,0,0.0,0.0,4,268,4,1,1,0
8,kEkrx,0,0.0,0.0,5,198,5,1,1,1
8,Ef@gty,0,0.0,0.0,6,100,6,1,1,1
8,@rnnyp,0,0.0,0.0,6,301,26,3,1,1
8,gzrr,0,0.0,0.0,4,87,2,2,1,0
8,hmy)d,0,0.0,0.0,5,42,4,1,1,1
8,nkSs,0,0.0,0.0,4,268,15,1,1,0
8,U@tEts,0,0.0,0.0,6,61,6,1,1,1
8,hUkhrf,0,0.0,0.0,6,42,2,1,1,1
8,=rUn,0,0.0,1.0,4,51,8,1,1,0
8,rto&,0,0.0,0.0,4,311,18,1,1,0
8,Ssboke,0,0.0,0.0,6,124,4,1,1,1
8,rral,0,2.0,2.0,4,311,30,1,1,0
8,mErgt,0,0.0,1.0,5,141,4,3,1,1
8,r@IEr,0,0.0,0.0,5,311,30,2,1,1
8,iUtso,0,0.0,0.0,5,178,5,1,1,1
8,rExu@,0,0.0,0.0,5,311,13,1,1,1
8,S@reo@,0,0.0,0.0,6,124,9,2,1,1
8,flmUI,0,0.0,0.0,5,104,10,2,1,1
8,ads@n,0,0.0,0.0,5,170,7,1,1,1
8,mntz,0,0.0,1.0,4,141,7,2,1,0
8,ltr&l,0,0.0,0.0,5,245,13,2,2,1
8,fSalui,0,0.0,0.0,6,104,11,1,1,1
8,kpm@Sx,0,0.0,0.0,6,198,6,1,1,1
8,If@r,0,0.0,1.0,4,112,5,1,1,0
8,mrkf,0,1.0,1.0,4,141,8,3,1,0
8,tnsiam,0,0.0,0.0,6,299,13,1,1,1
8,t@tdri,0,0.0,0.0,6,299,23,2,1,1
8,ubI&,0,0.0,0.0,4,69,2,1,1,0
8,ra@n,0,2.0,3.0,4,311,23,1,1,0
8,Eel@m,0,1.0,1.0,5,100,3,2,2,1
8,@oO@i,0,0.0,0.0,5,301,12,1,1,1
8,&n=jzt,0,0.0,0.0,6,173,11,1,1,1
8,tOE@kl,0,0.0,0.0,6,299,6,2,1,1
8,plgldl,0,0.0,0.0,6,112,12,1,1,1
8,d@stl,0,0.0,0.0,5,75,6,2,1,1
8,YInl,0,0.0,0.0,4,30,1,1,1,0
8,i&gEa,0,0.0,0.0,5,178,9,1,1,1
8,oaI@,0,0.0,1.0,4,104,8,1,1,0
8,l@uU@,0,0.0,0.0,5,245,22,3,1,1
8,poaUd,0,0.0,0.0,5,112,2,1,1,1
8,tIem,0,0.0,0.0,4,299,13,1,1,0
8,i&otl,0,0.0,0.0,5,178,9,2,1,1
8,d@a&rl,0,0.0,0.0,6,75,6,1,1,1
8,Sgli,0,0.0,0.0,4,124,3,1,1,0
8,n&@n,0,1.0,1.0,4,268,8,1,1,0
8,/@ozm,0,0.0,0.0,5,3,1,1,1,1
8,&&mr@m,0,0.0,0.0,6,173,7,1,1,1
8,t&SlS,0,0.0,0.0,5,299,13,1,1,1
8,tbsaz,0,0.0,0.0,5,299,7,1,1,1
8,tUtm,0,0.0,0.0,4,299,6,1,1,0
8,&IzU,0,0.0,0.0,4,173,7,1,1,0
8,tStE,0,2.0,2.0,4,299,16,3,1,0
8,&&xIt,0,0.0,0.0,5,173,7,1,1,1
8,tIxi,0,0.0,0.0,4,299,13,2,1,0
8,@&hi,0,0.0,0.0,4,301,17,1,1,0
8,S)nkra,0,0.0,0.0,6,124,1,1,1,1
8,=psnab,0,0.0,0.0,6,51,4,1,1,1
8,ox@E,0,0.0,0.0,4,104,3,1,1,0
8,psfErr,0,0.0,0.0,6,112,5,1,1,1
8,gxStS,0,0.0,0.0,5,87,5,1,1,1
8,&tnrgo,0,0.0,0.0,6,173,10,2,1,1
8,ohOt,0,0.0,0.0,4,104,3,1,1,0
8,thenU,0,0.0,0.0,5,299,5,1,1,1
8,&rs@,0,0.0,0.0,4,173,14,1,1,0
8,@asi,0,1.0,1.0,4,301,14,2,1,0
8,rUhb=I,0,0.0,0.0,6,311,4,1,1,1
8,r@@@aa,0,0.0,0.0,6,311,30,5,1,1
8,krUrs,0,0.0,0.0,5,198,12,2,1,1
8,Idrg,0,0.0,0.0,4,112,3,1,1,0
8,)fEir,0,0.0,0.0,5,22,1,1,1,1
8,tra@,0,2.0,3.0,4,299,26,1,1,0
8,dnrgi,0,0.0,1.0,5,75,6,2,1,1
8,nemNdi,0,0.0,0.0,6,268,4,1,1,1
8,a@nt,0,1.0,1.0,4,170,11,1,1,0
8,@&ryEn,0,0.0,0.0,6,301,17,1,1,1
8,mitmt,0,0.0,0.0,5,141,5,1,1,1
8,k=ir,0,0.0,0.0,4,198,2,1,1,0
8,iErm,0,1.0,1.0,4,178,4,1,1,0
8,i&Si,0,0.0,0.0,4,178,9,1,1,0
8,zr@p,0,1.0,1.0,4,71,4,1,1,0
8,@&pk,0,0.0,0.0,4,301,17,2,1,0
8,=ta@pg,0,0.0,0.0,6,51,5,1,1,1
8,iir&@t,0,0.0,0.0,6,178,9,4,1,1
8,kaknv,0,0.0,0.0,5,198,12,2,1,1
8,mexu,0,1.0,1.0,4,141,3,1,1,0
8,zipd,0,0.0,0.0,4,71,4,1,1,0
8,tthr,0,1.0,1.0,4,299,20,2,1,0
8,nfs@b,0,0.0,0.0,5,268,8,1,1,1
8,rloy,0,1.0,1.0,4,311,19,1,1,0
8,tjvtln,0,0.0,0.0,6,299,2,1,1,1
8,l@nm,0,0.0,0.0,4,245,22,2,1,0
8,OgIO,0,0.0,0.0,4,82,2,1,1,0
8,k@Er,0,0.0,2.0,4,198,15,2,1,0
8,ienY,0,0.0,0.0,4,178,4,1,1,0
8,bm&n,0,1.0,1.0,4,107,4,1,1,0
8,lrSY,0,0.0,0.0,4,245,20,2,1,0
8,@kr&,0,0.0,0.0,4,301,12,1,1,0
8,pnU@,0,1.0,1.0,4,112,9,1,1,0
8,smIrra,0,0.0,0.0,6,93,7,2,1,1
8,tkmnn,0,0.0,0.0,5,299,15,1,1,1
8,ISEt,0,0.0,0.0,4,112,6,2,1,0
8,nsNdry,0,0.0,0.0,6,268,7,1,1,1
8,ypEik,0,0.0,0.0,5,45,2,1,1,1
8,yUrnkf,0,0.0,0.0,6,45,3,1,1,1
8,nirYme,0,0.0,0.0,6,268,19,2,1,1
8,&p@=il,0,0.0,0.0,6,173,7,2,1,1
8,@ElS@,0,0.0,0.0,5,301,12,3,1,1
8,fnms,0,0.0,0.0,4,104,7,1,1,0
8,alEN,0,0.0,0.0,4,170,12,1,1,0
8,pa&&m,0,0.0,0.0,5,112,8,1,1,1
8,zorkp,0,0.0,0.0,5,71,3,1,1,1
8,NkJr,0,0.0,1.0,4,37,3,1,1,0
8,@aon,0,0.0,0.0,4,301,14,1,1,0
8,fltvr,0,0.0,0.0,5,104,10,1,1,1
8,bnak,0,0.0,0.0,4,107,7,2,1,0
8,ohtxr,0,0.0,0.0,5,104,3,1,1,1
8,b@le,0,1.0,1.0,4,107,11,2,1,0
8,Ngtk,0,0.0,0.0,4,37,1,1,1,0
8,nrxt,0,1.0,2.0,4,268,20,1,1,0
8,t@@jv,0,0.0,0.0,5,299,23,4,1,1
8,zze@l,0,0.0,0.0,5,71,1,1,1,1
8,ka@@,0,0.0,0.0,4,198,12,1,1,0
8,UiEt,0,0.0,0.0,4,61,3,1,1,0
8,lrS&b,0,0.0,0.0,5,245,20,2,1,1
8,@@vz,0,0.0,0.0,4,301,28,1,1,0
8,rb@S,0,1.0,1.0,4,311,6,1,1,0
8,tmz&t,0,0.0,0.0,5,299,5,1,1,1
8,nmkE,0,1.0,1.0,4,268,15,3,1,0
8,ayltn,0,0.0,0.0,5,170,1,1,1,1
8,rSnkru,0,0.0,0.0,6,311,6,2,1,1
8,Ytrl,0,1.0,1.0,4,30,4,1,1,0
8,ie@xta,0,0.0,0.0,6,178,4,1,1,1
8,NErm,0,1.0,1.0,4,37,4,1,1,0
8,yUmnr,0,0.0,0.0,5,45,3,1,1,1
8,nmtp@a,0,0.0,0.0,6,268,15,5,1,1
8,@ES&,0,0.0,0.0,4,301,12,1,1,0
8,zt@n&,0,0.0,0.0,5,71,3,1,1,1
8,iUEI,0,0.0,0.0,4,178,5,2,1,0
8,ni@Snz,0,0.0,0.0,6,268,19,2,1,1
8,&Ik&z,0,0.0,0.0,5,173,7,1,1,1
8,ommz,0,0.0,0.0,4,104,2,1,1,0
8,ygasfr,0,0.0,0.0,6,45,2,1,1,1
8,S&rSt,0,0.0,0.0,5,124,5,1,1,1
8,o&EkrE,0,0.0,0.0,6,104,2,1,1,1
8,angr,0,0.0,1.0,4,170,9,1,1,0
8,@ttf,0,0.0,1.0,4,301,23,3,1,0
8,tInniu,0,0.0,0.0,6,299,13,2,1,1
8,rprorn,0,0.0,0.0,6,311,9,1,1,1
8,Nan&og,0,0.0,0.0,6,37,2,1,1,1
8,u&an@n,0,0.0,0.0,6,69,4,1,1,1
8,nrkm,0,0.0,0.0,4,268,20,1,1,0
8,Iamo,0,0.0,0.0,4,112,7,1,1,0
8,kE&&,0,0.0,0.0,4,198,5,3,1,0
8,kbrak,0,0.0,0.0,5,198,7,1,1,1
8,nOin,0,0.0,1.0,4,268,9,1,1,0
8,Sofl,0,0.0,0.0,4,124,2,1,1,0
8,Ol@m,0,0.0,0.0,4,82,6,1,1,0
8,mtsn,0,0.0,0.0,4,141,15,1,1,0
8,kotn,0,0.0,0.0,4,198,8,2,1,0
8,nbktto,0,0.0,0.0,6,268,6,2,1,1
8,m@lsm,0,0.0,0.0,5,141,8,1,1,1
8,l&gO@s,0,0.0,0.0,6,245,11,1,1,1
8,sIaE,0,0.0,0.0,4,93,3,1,1,0
8,kp@aS,0,0.0,0.0,5,198,6,1,1,1
8,damv,0,0.0,0.0,4,75,2,1,1,0
8,ltor,0,0.0,0.0,4,245,13,1,1,0
8,nkpaOd,0,0.0,0.0,6,268,15,1,1,1
8,zlvkk,0,0.0,0.0,5,71,7,1,1,1
8,dvrrU,0,0.0,0.0,5,75,1,1,1,1
8,broIm,0,0.0,0.0,5,107,9,1,1,1
8,nabasm,0,0.0,0.0,6,268,12,2,1,1
8,@spO,0,0.0,0.0,4,301,9,1,1,0
8,S&nn,0,3.0,3.0,4,124,5,1,1,0
8,x&&lU,0,0.0,0.0,5,56,4,1,1,1
8,guxz&E,0,0.0,0.0,6,87,3,1,1,1
8,ru&ftl,0,0.0,0.0,6,311,7,1,1,1
8,b@n&tU,0,0.0,0.0,6,107,11,2,1,1
8,kmrg,0,0.0,0.0,4,198,9,1,1,0
8,pOirk,0,0.0,0.0,5,112,4,1,1,1
8,akrn,0,0.0,1.0,4,170,10,2,1,0
8,luro,0,0.0,0.0,4,245,5,1,1,0
8,Nnit@,0,0.0,0.0,5,37,5,1,1,1
8,akkx,0,0.0,0.0,4,170,10,1,1,0
8,ktnO),0,0.0,0.0,5,198,10,1,1,1
8,rItru,0,0.0,0.0,5,311,9,1,1,1
8,olsxl,0,0.0,0.0,5,104,4,1,1,1
8,d&zxxu,0,0.0,0.0,6,75,5,1,1,1
8,oknp,0,0.0,0.0,4,104,7,1,1,0
8,nk@aev,0,0.0,0.0,6,268,15,3,1,1
8,ormuI,0,0.0,1.0,5,104,12,1,1,1
8,prr|f,0,0.0,0.0,5,112,8,2,1,1
8,ti&k@E,0,0.0,0.0,6,299,13,1,1,1
8,kaS)t,0,0.0,0.0,5,198,12,1,1,1
8,IUaY,0,0.0,0.0,4,112,1,1,1,0
8,dne@,0,0.0,0.0,4,75,6,1,1,0
8,gunemN,0,0.0,0.0,6,87,3,2,1,1
8,@Osntp,0,0.0,0.0,6,301,6,1,1,1
8,alra,0,0.0,0.0,4,170,12,1,1,0
8,gprb@,0,0.0,0.0,5,87,1,1,1,1
8,lrl@,0,2.0,3.0,4,245,20,3,1,0
8,nsO@,0,0.0,0.0,4,268,7,1,1,0
8,t&bEdh,0,0.0,0.0,6,299,13,2,1,1
8,@@hmkl,0,0.0,0.0,6,301,28,1,1,1
8,senet@,0,0.0,0.0,6,93,2,1,1,1
8,IE@&,0,0.0,0.0,4,112,3,1,1,0
8,@@ia,0,0.0,0.0,4,301,28,1,1,0
8,tlllp,0,0.0,0.0,5,299,19,2,1,1
8,lkmr,0,0.0,2.0,4,245,12,1,1,0
8,@ItkaE,0,0.0,0.0,6,301,6,4,1,1
8,funir,0,0.0,0.0,5,104,3,1,1,1
8,UInkn,0,0.0,0.0,5,61,2,1,1,1
8,+Isz,0,0.0,0.0,4,16,1,1,1,0
8,UfO@,0,0.0,0.0,4,61,2,1,1,0
8,bNb@,0,0.0,0.0,4,107,1,1,1,0
8,hdzSpr,0,0.0,0.0,6,42,4,1,1,1
8,k&m&t,0,1.0,1.0,5,198,9,2,2,1
8,np|l,0,0.0,0.0,4,268,6,1,1,0
8,x&prp,0,0.0,0.0,5,56,4,1,1,1
8,@SSpEh,0,0.0,0.0,6,301,9,1,1,1
8,b@trIi,0,0.0,0.0,6,107,11,2,1,1
8,vrhb,0,0.0,0.0,4,66,5,1,1,0
8,@m&S,0,1.0,1.0,4,301,7,1,1,0
8,Si@@gn,0,0.0,0.0,6,124,6,1,1,1
8,a@rzgv,0,0.0,0.0,6,170,11,1,1,1
8,ruN&,0,0.0,0.0,4,311,7,1,1,0
8,kvmtrd,0,0.0,0.0,6,198,4,1,1,1
8,agaS,0,0.0,0.0,4,170,7,1,1,0
8,lbfpd,0,0.0,0.0,5,245,10,2,1,1
8,tEOt,0,0.0,0.0,4,299,5,1,1,0
8,&xxNat,0,0.0,0.0,6,173,5,1,1,1
8,bidsn,0,0.0,0.0,5,107,5,1,1,1
8,iIbvia,0,0.0,0.0,6,178,5,1,1,1
8,&eak,0,0.0,0.0,4,173,1,1,1,0
8,ro@S,0,2.0,3.0,4,311,7,2,1,0
8,mErt,0,0.0,2.0,4,141,4,3,1,0
8,timat,0,0.0,0.0,5,299,13,1,1,1
8,lItrlr,0,0.0,0.0,6,245,6,1,1,1
8,aI)@pa,0,0.0,0.0,6,170,4,1,1,1
8,Oap@mU,0,0.0,0.0,6,82,6,1,1,1
8,pOj@nk,0,0.0,0.0,6,112,4,1,1,1
8,ntga,0,0.0,2.0,4,268,23,2,1,0
8,=tgIl,0,0.0,0.0,5,51,5,1,1,1
8,rkr&ld,0,0.0,0.0,6,311,16,4,1,1
8,ii=@@|,0,0.0,0.0,6,178,9,1,1,1
8,msns@i,0,0.0,0.0,6,141,4,1,1,1
8,Oih&S,0,0.0,0.0,5,82,3,1,1,1
8,agtrix,0,0.0,0.0,6,170,7,1,1,1
8,llnO,0,0.0,0.0,4,245,22,2,1,0
8,dugnbE,0,0.0,0.0,6,75,2,1,1,1
8,tblSnk,0,0.0,0.0,6,299,7,2,1,1
8,xU@@n,0,0.0,0.0,5,56,2,1,1,1
8,sgai,0,0.0,0.0,4,93,3,1,1,0
8,p=f),0,0.0,0.0,4,112,2,1,1,0
8,u=SmnS,0,0.0,0.0,6,69,2,1,1,1
8,z@rnIS,0,0.0,0.0,6,71,7,2,1,1
