)bR	ombres
kREt	crêtes
kREv	crèves
kROs	crosses
kROt	crottes
kRaSa	crachats
kRab	crabes
kRad	crades
kRak(l5	craquelins
kRame	cramés
kRan	crânes
kRapo	crapauds
kRapyl	crapules
kRas	crasses
kRatER	cratères
kRavat	cravates
kReSe	crécher
kReatyR	créatures
kRedi	crédits
kRedibl	crédibles
kRedyl	crédules
kRee	créés
kRemajER	crémaillères
kReno	créneaux
kRepite	crépité
kRepyskyl	crépuscules
kRet5	crétins
kRetj5	chrétiens
kRi	cris
kRible	criblés
kRikE	criquets
kRikEt	crickets
kRim	crimes
kRinjER	crinières
kRipt	cryptes
kRipt)	krypton
kRise	crissé
kRispe	crispés
kRist	christs
kRistal	cristal
kRitER	critères
kRitike	critiqués
kRo	crocs
kRoke	croqués
kRoki	croquis
kRokodil	crocodiles
kRonometR	chronométrés
kRule	croulés
kRupiR	croupir
kRut	croûtes
kRwa	croît
kRwaR	croire
kRwatR	croître
kRwazad	croisades
kRwaze	croisés
kRwazjER	croisières
kRy	crût
kRyEl	cruels
kRyS	cruches
kRyote	cruautés
kRysifi	crucifix
kRysjal	cruciales
ka	ka
kaNOt	cagnotte
kaR	quarts
kaR(fuR	carrefours
kaR@t	quarante
kaROs	carrosses
kaROt	carottes
kaRa	carra
kaRabin	carabines
kaRaf	carafes
kaRaktER	caractères
kaRamEl	caramels
kaRapas	carapaces
kaRavan	caravanes
kaRbOn	carbones
kaRdinal	cardinales
kaRgEz)	cargaisons
kaRgo	cargos
kaRij)	carillons
kaRikatyR	caricatures
kaRjER	carrières
kaRjOl	carrioles
kaRkas	carcasses
kaRma	karma
kaRn	carnes
kaRnE	carnets
kaRnaZ	carnages
kaRnaval	carnavals
kaRo	carreaux
kaRp	carpes
kaRseRal	carcérales
kaRt	quarte
kaRt)	cartons
kaRtER	carters
kaRtEl	cartels
kaRtabl	cartables
kaRtone	cartonnés
kaRtuS	cartouches
kaS	cash
kaS(miR	cachemires
kaSE	cachets
kaSo	cachots
kaZ	cages
kaZo	cageots
kaZole	cajolés
kabOS	caboches
kabaRE	cabarets
kaban	cabanes
kabin	cabines
kabl	câbles
kabo	cabots
kad(na	cadenas
kad@s	cadences
kadE	cadets
kadR	cadres
kadR@	cadrant
kadavR	cadavres
kadi	kadi
kado	cadeaux
kafaR	cafards
kafe	cafés
kafte	caftés
kagul	cagoules
kaid	caïds
kaim@	caïmans
kaj	cailles
kaju	cailloux
kaka	cacas
kakao	cacaos
kakawEt	cacahuètes
kaktys	cactus
kal	cals
kal(p5	calepins
kal5	câlins
kal@dRije	calendriers
kalES	calèches
kalOmni	calomnies
kalamaR	calamars
kalibR	calibres
kalif	khalife
kalis	calices
kalite	qualités
kalkyl	calculs
kalm	calmes
kalmaR	calmars
kaloRi	calories
kals)	caleçons
kalvER	calvaires
kalvisi	calvities
kam	cames
kam(lOt	camelotes
kamaRad	camarades
kameRa	caméras
kamele)	caméléons
kamikaz	kamikazes
kamizOl	camisoles
kamomij	camomilles
kamufle	camouflés
kan	khans
kan)	canons
kanEl	cannelle
kanaR	canards
kanaRi	canaris
kanabis	cannabis
kanaj	canailles
kanal	canal
kanape	canapés
kaniS	caniches
kanibal	cannibales
kanivo	caniveaux
kanjOn	canyons
kano	canots
kanylaR	canulars
kao	k-o
kap	caps
kapOt	capotes
kapRis	caprices
kapabl	capables
kapitEn	capitaines
kapital	capitales
kapityle	capitulé
kapo	kapos
kapoRal	caporale
kapsyl	capsules
kaptif	captifs
kaptive	captivés
kaptyR	captures
kapyS	capuches
kapyS)	capuchons
kas(ROl	casseroles
kasEt	cassettes
kase	cassés
kask	casques
kaskad	cascades
kastOR	castors
kastRe	castrés
kastiG	castings
kat5	catins
katS	catch
katak)b	catacombes
katal@	catalans
katapylt	catapultes
katastROf	catastrophes
katedRal	cathédrales
kategoRi	catégories
katolik	catholiques
kautSu	caoutchoucs
kav	caves
kaval	cavales
kavite	cavités
kavjaR	caviar
kavo	caveaux
kazERn	casernes
kaza	casas
kazi	quasi
kazino	casinos
kepi	képis
ki	qui
kiS	quiches
kidnapiG	kidnappings
kif	kif
kij	quilles
kil9R	killer
kilo	kilos
kimono	kimonos
kine	kiné
kit	quittes
kjOsk	kiosques
kl5	clins
kl9b	clubs
kl@	clans
kl@dEst5	clandestins
kl@p	clamps
klER	clercs
klER)	clairons
klERZe	clergés
klERjER	clairières
klEps	klebs
klOR	clore
klOS	cloches
klOk	cloques
klOne	cloner
klOp	clopes
klaRinEt	clarinettes
klaRte	clartés
klaS	clash
klak	claques
klakEt	claquettes
klaks)	klaxons
klame	clamés
klap	clappe
klas	classes
klavikyl	clavicules
klavje	claviers
kle	clés
klebaR	clébards
klem@s	clémence
kliNe	clignés
kliSe	clichés
klij@	clients
klik	cliques
klima	climats
klin	clean
klinEks	kleenex
klip	clips
klitoRis	clitoris
klo	clôt
kloSaR	clochards
kloSe	cloché
klodo	clodos
klon	clones
klotyR	clôtures
klu	clous
klwaz)	cloisons
ko5side	coïncidé
koNak	cognacs
koNe	cognés
koORdone	coordonnés
koR)pR	corrompre
koR)py	corrompus
koREkt	corrects
koREsp)dR	correspondre
koRaj	corail
koRal	corrals
koRe5	coréens
koRegRafi	chorégraphies
koRiZe	corrigés
koRidOR	corridors
koRida	corridas
koRjas	coriaces
koRoboRe	corroborées
koRonER	coroners
koS(maR	cauchemars
koS)	cochons
koSe	cochés
koabite	cohabité
kobRa	cobras
kobaj	cobayes
kode	codés
koeR@	cohérents
kofRe	coffrés
kojOt	coyotes
kok	cokes
kok)	cocons
kok5	coquins
kokE	coquets
koka	cocas
kokain	cocaïne
kokij	coquilles
koko	cocos
kokoRiko	cocoricos
koksinEl	coccinelles
koky	cocus
kol)	côlon
kol)b	colombes
kolER	colères
kolEZ	collèges
kolEg	collègues
kolEkt	collectes
kolOn	colonnes
kolOs	colosses
kolaZEn	collagène
kolaboRe	collaboré
kold	cold
kole	colée
koleRa	choléras
koliN)	collignon
kolik	coliques
kolin	collines
kolizj)	collisions
kolje	colliez
kolo	colos
koloRe	colorés
koloRje	coloriés
kolonEl	colonels
kom1	communs
kom@	comment
kom@de	commandés
kom@se	commencés
kom@tER	commentaires
komERs	commerces
komEstibl	comestibles
komEt	comètes
komEtR	commettre
komOd	commodes
koma	comas
komi	komi
komisER	commissaires
komodOR	commodores
komyn	communes
komynike	communiqués
komynote	communautés
kon	cônes
konEksj)	connexions
konEtR	connaître
konaR	connards
konas	connasses
kony	connût
koopeRativ	coopératives
koopeRe	coopéré
kop5	copains
kopEk	kopeks
kopi	copies
kopyle	copulé
kot	côtes
kotS	coachs
kota	quotas
kotaZ	cottages
kotidj5	quotidiens
kotwaje	côtoyés
koz	causes
kozak	cosaques
ku	coûts
kuR	courts
kuROn	couronnes
kuRZ	courges
kuRaZ	courages
kuRb	courbes
kuRiR	courir
kuRse	coursés
kuRtize	courtisées
kuRtwa	courtois
kuRwa	courroies
kuS	couches
kud	coudes
kudR	coudre
kuf5	couffins
kuj	couilles
kuki	cookie
kuku	coucous
kul	coules
kul9R	couleurs
kulis	coulisses
kulwaR	couloirs
kup	coupes
kup)	coupons
kupOl	coupoles
kupl	couples
kuplE	couplets
kupyR	coupures
kus5	coussins
kuskus	couscous
kuto	couteaux
kutyR	coutures
kutym	coutumes
kuv@	couvents
kuvER	couverts
kuve	couvés
kuz5	cousins
kuzy	cousus
kw5	coins
kw5se	coincés
kw@tik	quantiques
kwEt	couettes
kwa	quoi
kwaf	coiff
kwak(	quoique
kwat8OR	quatuors
kwine	couiné
kyR	cures
kyRi	curry
kyb	cubes
kyb5	cubains
kylOt	culottes
kylbyt	culbutes
kylo	culots
kylt	cultes
kyltyR	cultures
kypid	cupides
kytER	cutters
kyv	cuves
l(s)	leçons
l(ve	levés
l)	longs
l1di	lundis
l2semi	leucémies
l5	lins
l5Se	lynchés
l5Z	linges
l5go	lingots
l5ks	lynx
l5pid	limpides
l5s9l	linceuls
l89R	lueurs
l8iR	luirent
l9R	leurs
l@	lents
l@Ze	langée
l@bo	lambeaux
l@d	lands
l@do	landaus
l@g	langues
l@gaZ	langages
l@giR	languirent
l@gust	langoustes
l@p	lampes
l@se	lancés
l@sk(nE	lansquenets
l@t9R	lenteurs
l@tERn	lanternes
l@tij	lentilles
lE	lès
lES	lèches
lEd9R	laideurs
lEg	lègue
lEjdi	lady
lEktyR	lectures
lEn	laines
lEpR	lèpres
lEtR	lettres
lEvR	lèvres
lEzbj5	lesbien
lOR	lors
lORNe	lorgnés
lORd	lord
lORsk(	lorsque
lOZ	loges
lOb	lobs
lOft	loft
lOk	loques
lOp	lopes
la	là
laR	lares
laRZ	larges
laRZ9R	largeurs
laRb5	larbins
laRge	largués
laRm	larmes
laRv	larves
laS	lâches
laS(te	lâchetés
lab9R	labeurs
labEl	labels
labiR5t	labyrinthes
laboRatwaR	laboratoires
labuRe	labourés
lagyn	lagunes
lajt	light
lajys	laïusse
lak	laques
lakE	laquait
lam	lames
lam@te	lamentés
lama	lamas
lap)	lapons
lap5	lapins
lape	lapées
lase	lassés
laseRe	lacérés
lasif	lascifs
lasityd	lassitudes
laskaR	lascars
laso	lassos
lat	lattes
lat5	latins
lat@	latents
latEks	latex
latino	latinos
latityd	latitudes
lav	laves
lav@d	lavandes
lavabo	lavabos
lazER	lasers
lazaN	lasagnes
le	lés
leSe	léchés
leZ@d	légendes
leZe	légers
leZitim	légitimes
legal	légales
lege	légués
legym	légumes
leopaR	léopards
lese	laissés
lesiv	lessives
lety	laitues
lezaR	lézards
leze	lésés
lezine	lésiné
liN	lignes
liR	lyres
libERt5	libertins
libERte	libertés
libR	libres
libRER	libraires
libeRal	libérales
libeRe	libérés
libelyl	libellule
libido	libido
lid9R	lieder
liftiG	liftings
lig	ligues
ligote	ligotés
lik9R	liqueurs
likORn	licornes
likefje	liquéfiés
likid	liquides
lila	lilas
lim	limes
limas	limaces
limit	limites
limonad	limonades
limuz5	limousins
lin	line
lise	lycées
list)	liston
litR	litres
liteRatyR	littératures
liv	live
livR	livres
lj2	lieux
lj5	liens
ljEs	liesses
ljEvR	lièvres
ljEz)	liaisons
ljas	liasses
lje	liés
lo	lots
loRje	lauriers
loZe	logés
loZi	logis
loZisjEl	logiciels
logo	logo
lokalize	localisés
lokatER	locataires
loko	locos
lokomotiv	locomotives
lolo	lolos
loto	lotos
loze	loser
lu	loups
luS	louches
lubaR	loubards
luk	look
lulu	loulous
lup	loupes
lutR	loutres
lw5	loin
lw@Z	louanges
lwa	loua
lwajote	loyautés
lwaziR	loisirs
lwe	loués
lwi	louis
ly	lût
lyZ	luges
lybRik	lubriques
lybi	lubies
lygybR	lugubres
lyks	luxes
lyksyR	luxure
lymjER	lumières
lyn	lunes
lynEt	lunettes
lypys	lupus
lysjOl	lucioles
lystR	lustres
lyt	luttes
lyt5	lutins
m(l)	melons
m(nOt	menottes
m(nas	menassent
m(ne	menés
m(no	meneaux
m(ny	menus
m(sj2	monsieur
m(zyR	mesures
m)	monts
m)d	mondes
m)d5	mondains
m)stR	monstres
m)tR	montres
m)taN	montagnes
m)tyR	montures
m2	meut
m2l	meules
m2t	meutes
m5	maints
m5tOR	mentors
m5tj5	maintient
m8E	muets
m8e	mués
m9Rs	moeurs
m9RtR	meurtres
m9bl	meubles
m9f	meufs
m9fin	muffin
m9st	must
m@	ment
m@S	manches
m@So	manchots
m@Ze	mangés
m@bR	membres
m@bRan	membranes
m@bo	mambos
m@da	mandats
m@daRin	mandarines
m@dala	mandalas
m@de	mendé
m@dje	mendiées
m@g	mangues
m@k	manques
m@s)Z	mensonges
m@s8El	mensuels
m@t	menthes
m@t)	mentons
m@tiR	mentir
m@to	mentaux
mE	mets
mER	mères
mERd	merdes
mERkR(di	mercredis
mERkyR	mercure
mERl	merles
mERl@	merlans
mERlo	merlot
mERs(nER	mercenaires
mERsi	mercis
mERvEj	merveilles
mES	mèches
mEds5	médecins
mEdsin	médecines
mEgR	maigres
mEj9R	meilleurs
mEjl	mails
mEk	mecs
mEksik5	mexicains
mEm	mêmes
mEsk5	mesquins
mEtR	mètres
mEz)	maisons
mOR	morts
mORdR	mordre
mORdy	mordus
mORf)dR	morfondre
mORfin	morphine
mORfle	morflée
mORn	mornes
mORpj)	morpions
mORso	morceaux
mORsyR	morsures
mORtje	mortiers
mORv	morves
mOS	moches
mOd	modes
mOk(Ri	moqueries
mOl	mols
mOske	mosquées
ma	mâts
maEstRo	maestro
maNanim	magnanimes
maNetik	magnétiques
maNifik	magnifiques
maR	marres
maR)	marrons
maR5	marins
maRE	marrait
maREn	marraines
maRS	marches
maRSal	marshals
maRZ	marges
maRat)	marathons
maRbR	marbres
maRdi	mardis
maReSal	maréchale
maRekaZ	marécages
maRg(Rit	marguerites
maRgo	margot
maRi	mary
maRiRwana	marijuana
maRin	marines
maRitim	maritimes
maRjonEt	marionnettes
maRk	marques
maRketiG	marketings
maRki	marquis
maRmOt	marmottes
maRmit	marmites
maRmo	marmots
maRmone	marmonnés
maRok5	maroquins
maRt(le	martelés
maRt5	martins
maRtiR	martyrs
maRtini	martinis
maRto	marteaux
maS5	machins
maSEt	machettes
maSe	mâchés
maSin	machines
maSwaR	mâchoires
maZ	mages
maZ9R	majeurs
maZEste	majestés
maZOR	majors
maZisj5	magiciens
maZistRa	magistrats
maZistRal	magistrales
maZistRatyR	magistratures
maZoREt	majorettes
maZoRdOm	majordomes
maaRadZa	maharajahs
madOn	madones
madam	mme
mafja	mafias
magaz5	magasins
magazin	magazines
magnOm	magnums
mago	magots
maguj	magouilles
mais	maïs
maj	mailles
majl	mile
majo	mayo
majonEz	mayonnaises
mak	maques
mak(Ro	maquereaux
makEt	maquettes
makaRoni	macaronis
makabR	macabres
makabe	macchabées
makak	macaques
maksi	maxis
maksimOm	maximums
makymba	macumba
mal	mâles
mal5	malins
mal9R	malheurs
malEz	malaises
malaRja	malarias
malabaR	malabars
malad	malades
maladi	maladies
malefik	maléfiques
malfEt9R	malfaiteurs
malfRa	malfrats
malgRe	malgré
malis	malices
malm(ne	malmenés
maltRete	maltraités
mam(l)	mamelons
mam@	mamans
mamut	mammouths
man(k5	mannequins
man8El	manuels
man9vR	manoeuvres
manEZ	manèges
manEt	manettes
manadZ9R	manager
manadZe	manager
mani	manies
manif	manifs
manifEst	manifestes
manig@se	manigancée
manipyle	manipulés
manivEl	manivelles
manjER	manières
manjak	maniaques
manje	maniés
manwaR	manoirs
manykyR	manucures
manyskRi	manuscrits
mas)	maçons
mase	massés
mask	masques
maskOt	mascottes
maskaRa	mascara
maskaRad	mascarades
mast9R	masters
mastOk	mastoc
mastyRbe	masturbés
mat	mâte
mat(la	matelas
mat(lo	matelots
mat)	matons
mat5	mâtins
matRak	matraques
matRikyl	matricules
matRis	matrices
matS	matchs
matSo	machos
matadOR	matadors
mateRjEl	matériels
mateRjo	matériaux
matematik	mathématiques
matine	mâtinés
matjER	matières
matos	matos
matu	matous
matyR	mâtures
mazut	mazout
meRidjonal	méridionales
meRit	mérites
meS@s(te	méchancetés
medOk	médocs
medaj	médailles
medite	médités
medjOkR	médiocres
medjOm	médiums
medja	médias
medyz	méduses
mefE	méfaits
mefje	méfiés
megRiR	maigrir
mega	méga
mego	mégots
mekanik	mécaniques
mekano	mécanos
mel@Z	mélanges
mel@koli	mélancolies
melas	mélasse
mele	mêlés
melodi	mélodies
meme	mémés
memoRize	mémorisés
memwaR	mémoires
menaZ	ménages
mepR@dR	méprendre
mepRi	méprît
mepRize	méprisés
mes9R	messer
mesaZ	messages
mesiR	messires
metEk	métèques
metOd	méthodes
metRiz	maîtrises
metRo	métros
metRopOl	métropoles
metafOR	métaphores
metal	métal
meteOR	météores
meteo	météo
metis	métisses
metje	métiers
miN)	mignons
miR	myrrhe
miRakl	miracles
miRt	myrtes
miRtij	myrtilles
miRwaR	miroirs
miS	miches
miZote	mijotés
midi	midis
migREn	migraines
mikROb	microbes
mikRo	micros
mikse	mixés
mikst	mixtes
mil	milles
milOR	mylord
miledi	milady
milite	milité
milj2	milieux
mim	mîmes
mimoza	mimosas
min	mines
min(RE	minerais
min8i	minuits
min9R	mineurs
minE	minets
ministR	ministres
mino	minots
minu	minous
minwa	minois
misil	missiles
misj)	missions
mist9R	mister
mistER	mystères
mistik	mystiques
mit	mythes
mitRaje	mitraillés
mitaR	mitards
mitiG	meetings
mizER	misères
mize	misé
mizeRikORd	miséricordes
mjEl	miels
mjEt	miettes
mjOS	mioches
mjole	miaulé
mo	mots
moR	maures
moRal	morales
moRoz	moroses
moRy	morues
mobil	mobiles
mod(le	modelés
modERn	modernes
modEl	modèles
modEst	modestes
modeRe	modérés
modiR	maudirent
modifje	modifiés
modyl	modules
mokEt	moquettes
moke	moqués
mol	môles
molE	mollets
molekyl	molécules
moliR	mollir
molo	mollo
mom	mômes
mom@	moments
momi	momies
monE	monnaies
monaRk	monarques
monastER	monastères
monit9R	moniteurs
monopOl	monopoles
monopoli	monopoly
monotOn	monotones
mosad	maussades
mot9R	moteurs
motEl	motels
motif	motifs
motive	motivés
moto	motos
movE	mauvais
movjEt	mauviettes
mozole	mausolées
mu	moûts
muRiR	mourir
muS	mouches
muSwaR	mouchoirs
mudR	moudre
mul	moules
mul5	moulins
muskE	mousquets
mustaS	moustaches
mustik	moustiques
mut)	moutons
mutaRd	moutardes
muvwaR	mouvoir
mw5	moins
mw5dR	moindres
mwEt	mouettes
mwa	mois
mwaj5	moyens
mwal	moelles
mwan	moines
mwano	moineaux
mwas)	moissons
mwasone	moissonnés
mwat	moites
mwaziR	moisir
mwazisyR	moisissures
myR	mûrs
myRaj	murailles
myRiR	mûrir
myRmyR	murmures
myfl	mufles
myl	mules
mylE	mulets
myltipl	multiples
myniR	munir
myskl	muscles
myt8El	mutuels
myte	mutés
mytile	mutilés
myz	muses
myzisj5	musiciens
myzo	museaux
myzylm@	musulmans
n(v2	neveux
n)	non
n)bR	nombres
n)bRil	nombrils
n2	noeuds
n2Ron	neurones
n2tR	neutres
n5	nains
n5f	nymphes
n8aZ	nuages
n8e	nuées
n8iR	nuire
n9Rs	nurses
n9f	neufs
n@	nant
nER	nerfs
nEZ	neiges
nEgR	nègres
nEktaR	nectar
nEs@s	naissances
nEt	nettes
nEtR	naître
nOR	nord
nORm	normes
nObl	nobles
nOktyRn	nocturnes
nOmine	nominer
nOn	nonnes
nOs	noces
nOstalZi	nostalgies
nOt	notes
naRge	narguées
naRin	narines
naZ	nages
naZwaR	nageoires
nabo	nabots
nada	nada
nagER	naguère
naif	naïfs
nana	nanas
nap	nappes
nasEl	nacelles
nat	nattes
natyR	natures
natyREl	naturels
navE	navets
navEt	navettes
navRe	navrés
naviR	navires
navige	navigué
naz	nazes
nazi	nazis
ne	nés
ne)	néons
ne@mw5	néanmoins
nefast	néfastes
negliZe	négligés
negosje	négociés
nene	nénés
nesesER	nécessaires
netwaje	nettoyés
nevRoze	névrosés
ni	nies
niS	niches
niS)	nichons
nibaR	nibards
nigo	nigauds
nikEl	nickels
nike	niqués
nikotin	nicotine
nil)	nylons
nim	nim
nivo	niveaux
njE	niait
nje	niés
noEl	noëls
noblEs	noblesses
nofRaZ	naufrages
nomad	nomades
nome	nommés
nosif	nocifs
notER	notèrent
note	notés
notily	nautilus
notis	notices
notwaR	notoires
nov@bR	novembre
nova	nova
novis	novices
noze	nausées
nuRiR	nourrirent
nuj	nouilles
nunu	nounous
nunuRs	nounours
nuvEl	nouvelles
nuvo	nouveaux
nwa	noua
nwaR	noirs
nwajad	noyades
nwajo	noyaux
nwaz(tje	noisetiers
nwe	noués
ny	nus
nyk	nuques
nyl	nuls
nymeRo	numéros
oR9R	horreurs
oR@Z	oranges
oR@Zad	orangeades
oRER	horaires
oREj	oreilles
oROR	aurores
oRa	auras
oRaZ	orages
oRakl	oracles
oRal	orales
oRat9R	orateurs
oReOl	auréoles
oReje	oreillers
oRiZin	origines
oRibl	horribles
oRifis	orifices
oRifje	horrifiés
oRiz)	horizons
oRj@te	orientés
oRoskOp	horoscopes
oSe	hoché
oZiv	ogives
oZuRd8i	aujourd'hui
oazis	oasis
ob	aubes
obERZ	auberges
obERZin	aubergines
obEn	aubaines
obEz	obèses
obeiR	obéirent
obeis@s	obéissance
obliZe	obligés
oby	obus
od9R	odeurs
odas	audaces
odimat	audimats
odj@s	audiences
odjo	audio
odoRa	odorat
of@s	offenses
ofRiR	offrirent
ofis	offices
ofisjEl	officiels
ofyske	offusqués
ogm@te	augmentés
ogyR	augures
ogyst	augustes
okE	hoquets
okaz	occases
oke	ok
oksiljER	auxiliaires
okyR@s	occurrences
okylt	occultes
okype	occupés
ol	halls
ola	ola
oliv	olives
oliv(RE	oliveraies
olokost	holocaustes
om	ohms
om(lEt	omelettes
omEtR	omettre
omaR	homards
omaZ	hommages
omisid	homicides
omo	homos
omon	aumônes
on9R	honneurs
onEt	honnêtes
onoRe	honorés
op(n	open
opORt1	opportuns
opRE	auprès
opRese	oppressées
opRime	opprimés
opeRa	opérât
opeRe	opérés
opital	hôpital
opjOm	opium
opoze	opposés
opsERve	observés
opsede	obsédés
os	hausses
ose@	océans
osi	aussi
osito	aussitôt
oskylte	auscultés
ostER	austères
ot	ôtes
ot9R	hauteurs
ot@tik	authentiques
otEl	hôtels
otOn	automnes
otOpsi	autopsies
otR	autres
otRyS	autruches
otaRi	otaries
otaZ	otages
oto	autos
otoRite	autorités
otoRize	autorisés
otomobil	automobiles
otonomi	autonomie
otuR	autours
ovER	ovaires
oval	ovales
ovyl	ovules
ozEj	oseilles
oze	osés
ozon	ozone
p(le	pelés
p(lot)	pelotons
p(lote	pelotés
p(luz	pelouses
p(lyS	peluches
p(ti	petits
p)	ponts
p)S	punch
p)dR	pondre
p)go	pongo
p)kt8El	ponctuels
p)p	pompes
p)p)	pompons
p)pEt	pompette
p)t	pontes
p)t)	pontons
p)tSo	ponchos
p1k	punks
p2	peux
p2R	peur
p2pl	peuplent
p2z@t9R	pesanteurs
p2ze	pesez
p5	pins
p5dR	peindre
p5gw5	pingouins
p5s)	pinçons
p5se	pincés
p5so	pinceaux
p5t	pintes
p5tR	peintres
p5tyR	peintures
p8@t9R	puanteurs
p8e	puer
p8eRil	puérils
p8i	puy
p8is@s	puissances
p8isk(	puisque
p8ize	puisés
p9b	pubs
p9z9l	puzzles
p@	pends
p@Se	penchés
p@dR	pendre
p@da	pandas
p@dy	pendus
p@dyl	pendules
p@flE	pamphlets
p@kEk	pancakes
p@kReas	pancréas
p@kaRt	pancartes
p@pl(mus	pamplemousses
p@se	pensés
p@t	pentes
p@t5	pantins
p@tER	panthères
p@tal)	pantalons
p@tufl	pantoufles
pE	pets
pEN	peignes
pENwaR	peignoirs
pER	pères
pER)	perrons
pERS	perches
pERdR	perdre
pERdRi	perdrix
pERdRo	perdreaux
pERdy	perdus
pERfORm@s	performances
pERfid	perfides
pERfoRe	perforés
pERkizisjone	perquisitionné
pERkyte	percutés
pERl	perles
pERmEtR	permettre
pERman@	permanents
pERmi	permît
pERokE	perroquets
pERpEt	perpète
pERpet8El	perpétuels
pERpetRe	perpétrés
pERplEks	perplexes
pERs(vwaR	percevoir
pERs8ade	persuadés
pERsOn	personnes
pERse	percés
pERsekyte	persécutés
pERseveRe	persévéré
pERsi	persil
pERsiste	persisté
pERsonEl	personnels
pERspEktiv	perspectives
pERspikas	perspicaces
pERt	pertes
pERtin@	pertinents
pERtyRbe	perturbés
pERvER	pervers
pERvERsj)	perversions
pERvERtiR	pervertir
pERyk	perruques
pES	pêches
pEgR	pègre
pEj	paye
pEk(no	péquenots
pEl	pèles
pEl(R5	pèlerins
pEn	pêne
pEnaR	peinards
pEst	pestes
pEtR	paître
pOR	ports
pORS	porches
pORidZ	porridge
pORno	pornos
pORs(lEn	porcelaines
pORt	portes
pORtER	portèrent
pORtRE	portraits
pORtaj	portails
pORto	portos
pOS	poches
pOlise	policer
pOlka	polkas
pOm	pommes
pOp	popes
pOst	postes
pOsteRite	postérités
pOstyR	postures
pOstyle	postulé
pOt	potes
pR)	prompts
pR2mje	premiers
pR5s	princes
pR5sip	principes
pR5t@	printemps
pR9v	preuves
pR@dR	prendre
pRE	prêts
pREsbitER	presbytère
pREsk	presque
pREskRiR	prescrire
pREstiZ	prestiges
pREsto	presto
pREtR	prêtres
pREv(niR	prévenir
pROS	proches
pROf	profs
pROmnad	promenades
pROmne	promener
pROpR	propres
pROpR(te	propreté
pROskRiR	proscrire
pROspER	prospères
pROspEktys	prospectus
pROstat	prostate
pROstit8e	prostitués
pRatik	pratiques
pRe	prés
pRe@s9R	préhenseur
pReZydis	préjudices
pRediR	prédirent
pRefE	préfets
pRefeRe	préférés
pRekOs	précoces
pRekonize	préconisés
pRel(ve	prélevés
pRepaRatif	préparatifs
pRepaRe	préparés
pResEpt	préceptes
pRese	pressés
pResed@	précédents
pResede	précédés
pResi	précis
pResiG	pressings
pResipis	précipices
pResipite	précipités
pResize	précisés
pRet@dR	prétendre
pRet@dy	prétendus
pRevalwaR	prévaloir
pRevwaR	prévoir
pRez@	présents
pRez@t	présentes
pRezERve	préservés
pRezaZ	présages
pRezid@	présidents
pRezide	présidés
pRezyme	présumés
pRi	prît
pRijER	prières
pRijoRite	priorités
pRim	prîmes
pRimER	primaires
pRimORdjal	primordiales
pRimat	primates
pRimo	primo
pRive	privés
pRivilEZ	privilèges
pRiz)	prisons
pRize	prisés
pRizonje	prisonniers
pRo	pros
pRoS5	prochains
pRoZ(te	projetés
pRoZE	projets
pRoZEktil	projectiles
pRoZenityR	progénitures
pRoblEm	problèmes
pRod8iR	produire
pRodiZ	prodiges
pRodig	prodigues
pRof)	profonds
pRofEt	prophètes
pRofan	profanes
pRofesi	prophéties
pRofi	profits
pRofil	profils
pRogRE	progrès
pRogRam	programmes
pRokRee	procréé
pRoklame	proclamés
pRokyRe	procurés
pRol)Ze	prolongés
pRoletER	prolétaires
pRomEs	promesses
pRomEtR	promettre
pRomi	promît
pRomo	promos
pRomot9R	promoteurs
pRomuvwaR	promouvoir
pRon)se	prononcés
pRonOstik	pronostique
pRone	prônés
pRopRijetER	propriétaires
pRopRijete	propriétés
pRopRijo	proprios
pRopaZe	propagés
pRopag@d	propagandes
pRopis	propices
pRopo	propos
pRopoze	proposés
pRopylse	propulsés
pRosE	procès
pRosede	procédés
pRosedyR	procédures
pRostERne	prosternés
pRotEste	protestés
pRotEz	prothèses
pRoteZe	protégés
pRotein	protéines
pRotokOl	protocoles
pRov(n@s	provenances
pRov(niR	provenir
pRov5s	provinces
pRovERb	proverbes
pRovid@s	providence
pRoviz9R	proviseurs
pRovizwaR	provisoires
pRovoke	provoqués
pRu	proues
pRuve	prouvés
pRwa	proies
pRyRit	prurit
pRyd@	prudents
pRyn	prunes
pRynEl	prunelles
pRyno	pruneaux
pa	pât
paR	parts
paR5	parrains
paR@	parents
paR@tEz	parenthèses
paREj	pareils
paREtR	paraître
paROl	paroles
paRS(m5	parchemins
paRZyR	parjures
paRa	paras
paRaSyt	parachutes
paRabOl	paraboles
paRad	parades
paRadOks	paradoxes
paRadi	paradis
paRagRaf	paragraphes
paRalEl	parallèles
paRalize	paralysés
paRamEtR	paramètres
paRanoja	paranoïa
paRapl8i	parapluies
paRav@	paravents
paRazit	parasites
paRd(sy	pardessus
paRd)	pardons
paRdone	pardonnés
paRf1	parfums
paRfE	parfaits
paRfwa	parfois
paRfyme	parfumés
paRi	paris
paRja	parias
paRk	parquent
paRkE	parquets
paRkiG	parkings
paRkuR	parcourt
paRle	parlés
paRlwaR	parloirs
paRmi	parmi
paRodi	parodies
paRsEl	parcelles
paRsjEl	partiels
paRt(nER	partenaires
paRtaZ	partages
paRtiR	partirent
paRtikyl	particules
paRtisipe	participés
paRtiz@	partisans
paRtu	partout
paRwa	parois
paRyR	parures
paSa	pachas
