Word	Match	Lexicality	Old20	Old20_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
:k:@:n::s:I::d:@:R	k@nsIS@R	N	2.75	0.15	10/11	-50	100	_k@nsI[S]@R_
:k:@:n::s:I::d:@:R	k@nsIstI	N	2.85	0.25	8/11	-127	361	_k@nsIs[tI]_
:k:@:n::s:I::d:@:R	k@nsIs@R	N	2.7	0.1	10/11	109	189	_k@nsI[s]@R_
:k:@:n::s:I::d:@:R	k@nsIStI	N	3.0	0.4	8/11	-127	351	_k@nsIS[tI]_
:k:@:n::s:I::d:@:R	k@nsIktI	N	2.95	0.35	8/11	-127	328	_k@nsIk[tI]_
:p:r:Q::f:I:t	prQmIt	N	1.85	-0.05	7/8	30	31	_prQ[mI]t_
:p:r:Q::f:I:t	prEf2t	N	2.55	0.65	3/4	-58	149	_prE[f2]t_
:p:r:Q::f:I:t	prEfIt	N	2.0	0.1	7/8	-35	44	_pr[E]fIt_
:p:r:Q::f:I:t	prEmIt	N	1.9	0.0	3/4	-35	75	_pr[E]mIt_
:p:r:Q::f:I:t	prEm1t	N	2.45	0.55	5/8	-55	142	_prE[m1]t_
:p:r:Q::f:I:t	pr@f2t	N	2.4	0.5	3/4	-58	176	_pr@[f2]t_
:p:l:{:S	pl{p	N	1.5	0.1	4/5	-6	6	_pl{[pQ]
:p:l:{:S	pl{b	N	1.6	0.2	4/5	-8	16	_pl[{b]{
:p:l:{:S	pl{s	N	1.6	0.2	4/5	-12	22	_pl[{s]P
:p:l:{:S	pl{g	N	1.55	0.15	4/5	14	27	_pl[{g]P
:p:l:{:S	pl{z	N	1.75	0.35	4/5	-16	20	_pl[{z]3
:p:l:{:S	pl{l	N	1.75	0.35	4/5	-18	21	_pl[{l]i
:b:Q::b:I:n	rQvIn	N	1.9	0.2	5/7	-60	164	_[r]QvIn_
:b:Q::b:I:n	rQvId	N	2.0	0.3	4/7	-60	237	_[r]QvId_
:b:Q::b:I:n	rQbId	N	1.9	0.2	5/7	-60	167	_[r]QbId_
:b:Q::b:I:n	mQvIn	N	2.0	0.3	5/7	-54	161	_mQ[v]In_
:b:Q::b:I:n	mQvId	N	2.0	0.3	4/7	-54	234	_mQ[v]Id_
:b:Q::b:I:n	mQbIn	N	1.85	0.15	6/7	-47	91	_[m]QbIn_
:p:E::b:P	pEbr	N	1.95	0.3	5/6	7	8	_pE[br]I
:p:E::b:P	pEvQ	N	2.0	0.35	2/3	-56	126	_pE[vQ]
:p:E::b:P	pEvP	N	1.6	-0.05	5/6	-54	85	_pE[v]P_
:p:E::b:P	pEv{	N	2.0	0.35	2/3	-54	123	_pE[v]{
:p:E::b:P	pEvr	N	2.0	0.35	2/3	-61	116	_pE[vr]I
:p:E::b:P	pEvE	N	2.0	0.35	2/3	-54	130	_pE[v]E
:b:V::k:P	bVks	N	1.55	0.05	5/6	-16	22	_bV[ks]t
:b:V::k:P	bVk{	N	1.85	0.35	5/6	-19	23	_bVk[{]
:b:V::k:P	r1k{	N	1.95	0.45	1/2	-60	155	_[r]1k{
:b:V::k:P	r1kE	N	1.95	0.45	1/2	-60	213	_[r]1kE
:b:V::k:P	r1kt	N	1.9	0.4	1/2	-60	182	_[r]1ktr
:b:V::k:P	r1kP	N	1.9	0.4	2/3	-60	132	_[r]1kP_
:s:E:l::d:@:m	sElk@m	N	2.5	0.3	7/8	12	19	_sEl[k@]m_
:s:E:l::d:@:m	sElk@s	N	2.45	0.25	3/4	18	39	_sElk[@s]
:s:E:l::d:@:m	sElkIk	N	2.45	0.25	5/8	-19	53	_sElkI[k]
:s:E:l::d:@:m	sElkIn	N	2.45	0.25	5/8	21	56	_sElk[In]@
:s:E:l::d:@:m	sEld@s	N	2.35	0.15	7/8	18	20	_sEld[@s]
:s:E:l::d:@:m	sVmplu	N	2.85	0.65	3/8	-64	316	_sVmpl[u]
:f:r:u:t	frun	N	1.75	0.3	4/5	-7	11	_fr[un]
:f:r:u:t	frum	N	1.6	0.15	4/5	-11	14	_fr[um]I
:f:r:u:t	frVn	N	1.8	0.35	3/5	11	22	_fr[Vn]
:f:r:u:t	fr2n	N	1.65	0.2	3/5	13	18	_f[r2]n
:f:r:u:t	fr2m	N	1.55	0.1	3/5	-16	32	_fr[2m]I
:f:r:u:t	flVn	N	1.75	0.3	2/5	15	32	_[fl]Vn
:f:I::b:j:U::l:@	fIvjUl$	N	3.55	0.85	4/5	-59	173	_fIvjUl[_R]
:f:I::b:j:U::l:@	fIvjUl@	N	3.0	0.3	9/10	-54	68	_fI[v]jUl@_
:f:I::b:j:U::l:@	fIbjUl$	N	3.45	0.75	9/10	-58	104	_fIbjUl[_]
:f:I::b:j:U::l:@	fIfIkl$	N	3.6	0.9	3/5	-111	484	_fIf[Ik]l_l
:f:I::b:j:U::l:@	fIfIkl1	N	3.5	0.8	3/5	-111	531	_fIf[Ik]l1l
:f:I::b:j:U::l:@	fIfIkl@	N	3.45	0.75	7/10	-111	412	_fIf[Ik]l@l
:g:{::v:P	g{ft	N	1.85	0.2	2/3	-16	45	_g{[f]tr
:g:{::v:P	g{vQ	N	1.95	0.3	5/6	-25	41	_g{[vQ]
:g:{::v:P	g{v{	N	1.95	0.3	5/6	-19	38	_g{[v{]
:g:{::v:P	g{vr	N	1.95	0.3	5/6	-30	31	_g{[vr]I
:g:{::v:P	g{fQ	N	1.95	0.3	2/3	-23	55	_g{[fQ]
:g:{::v:P	g{fP	N	1.7	0.05	5/6	-19	35	_g{[fP]_
:k:$::d:@::r:4	k$d@rU	N	2.8	0.1	8/9	-1	1	_k_d@r[Uk]
:k:$::d:@::r:4	k$d@r6	N	2.8	0.1	8/9	-4	6	_k_d@r[6s]
:k:$::d:@::r:4	k$d@r$	N	2.8	0.1	8/9	-3	4	_k_d@[r_]s
:k:$::d:@::r:4	k$d@r3	N	2.8	0.1	8/9	-4	4	_k_d@[r3]s
:k:$::d:@::r:4	k$d@r9	N	2.8	0.1	8/9	-4	8	_k_d@[r9]s
:k:$::d:@::r:4	k$d@rQ	N	2.8	0.1	8/9	8	13	_k_d@[rQ]s
:p:#::d:r:I	p#nst	N	1.95	0.05	4/7	-31	59	_p#ns[t_]
:p:#::d:r:I	p#pst	N	1.95	0.05	4/7	-31	83	_p#ps[t_]
:p:#::d:r:I	p#nsI	N	1.9	0.0	5/7	-42	63	_p#n[sI]_
:p:#::d:r:I	p#psI	N	1.95	0.05	5/7	-42	87	_p#p[sI]_
:p:#::d:r:I	p1drI	N	2.0	0.1	6/7	62	69	_p[1]drI_
:p:#::d:r:I	p1nst	N	1.9	0.0	3/7	62	128	_p[1]nst_
:s:i::n:j:@:R	sidj@R	N	1.9	0.1	7/8	-26	44	_si[dj]@R_
:s:i::n:j:@:R	sind@R	N	1.7	-0.1	7/8	30	59	_sin[d@]R_
:s:i::n:j:@:R	sipj@R	N	1.9	0.1	7/8	-30	32	_si[pj]@R_
:s:i::n:j:@:R	sipl@R	N	1.95	0.15	3/4	-24	27	_sip[l@]R_
:s:i::n:j:@:R	s2dj@R	N	2.15	0.35	3/4	-48	114	_s[2]dj@R_
:w:V::r:I	wVnI	N	1.35	-0.2	5/6	-20	37	_wV[nI]_
:w:V::r:I	n3nI	N	1.75	0.2	1/2	-23	68	_[n]3nI_
:w:V::r:I	n3rI	N	1.9	0.35	2/3	-23	31	_[n]3rI_
:w:V::r:I	nVnI	N	1.4	-0.15	2/3	-23	81	_[n]VnI_
:w:V::r:I	nVrI	N	1.7	0.15	5/6	-23	44	_[n]VrI_
:s:m:#:t	sm3t	N	1.6	-0.1	4/5	-2	4	_s[m3]t_
:s:m:#:t	smEm	N	1.9	0.2	3/5	-3	3	_smE[mI]
:s:m:#:t	smpt	N	1.85	0.15	4/5	3	3	_s[mp]t_
:s:m:#:t	sm#m	N	1.8	0.1	4/5	-4	7	_sm[#m]I
:s:m:#:t	sm3n	N	1.8	0.1	3/5	-4	7	_sm3[n]
:s:m:#:t	sm3m	N	1.85	0.15	3/5	-4	9	_sm[3m]I
:g:@::l:Q:S	g@ljE	N	2.9	0.8	5/7	-2	3	_g@[lj]Ek
:g:@::l:Q:S	g@liS	N	2.2	0.1	6/7	-3	3	_g@[li]S_
:g:@::l:Q:S	g@luS	N	1.95	-0.15	6/7	4	5	_g@[lu]S_
:g:@::l:Q:S	g@lum	N	1.95	-0.15	5/7	-7	15	_g@lu[m@]
:g:@::l:Q:S	g@lif	N	2.05	-0.05	5/7	-16	21	_g@li[fU]
:w:Q:n::t:@:n	nQnt@n	N	2.45	0.45	7/8	-23	63	_[n]Qnt@n
:w:Q:n::t:@:n	w{nt@n	N	2.0	0.0	7/8	-57	112	_[w{]nt@n
:w:Q:n::t:@:n	n{nt@n	N	2.15	0.15	3/4	-35	111	_n[{n]t@n
:w:Q:n::t:@:n	g{nstI	N	2.45	0.45	3/8	115	453	_[g]{nstI_
:w:Q:n::t:@:n	g{nst@	N	2.85	0.85	3/8	-116	586	_g{ns[t@]R
:w:Q:n::t:@:n	g{nsIs	N	2.5	0.5	3/8	-127	477	_g{n[sI]st
:m:I:l:J	mIlS	N	1.8	0.15	4/5	-2	2	_mI[lS]H
:m:I:l:J	mIlm	N	1.75	0.1	4/5	1	1	_mI[lm]{
:m:I:l:J	mIlv	N	1.8	0.15	4/5	4	6	_mIl[v3]
:m:I:l:J	mIlb	N	1.8	0.15	4/5	-4	7	_mIl[bl]
:m:I:l:J	mINd	N	1.85	0.2	3/5	8	14	_mIN[dj]
:m:I:l:J	mIln	N	1.75	0.1	4/5	-6	9	_mIl[ns]
:p:r:5	pru	N	1.2	0.1	3/4	-17	26	_p[ru]l
:p:r:5	prV	N	1.8	0.7	3/4	-24	26	_p[rV]l
:p:r:5	pr@	N	1.65	0.55	3/4	48	58	_p[r@]_
:p:r:5	prE	N	1.7	0.6	3/4	90	99	_p[rE]l
:p:r:5	pri	N	1.3	0.2	3/4	116	121	_p[ri]l
:p:r:5	prQ	N	1.55	0.45	3/4	99	109	_p[rQ]l
:m:I:l:t	mIkt	N	1.4	0.45	4/5	-27	68	_m[Ik]t
:m:I:l:t	mIkl	N	1.75	0.8	3/5	-29	74	_mI[kl]@
:m:I:l:t	mIkr	N	1.8	0.85	3/5	-27	58	_m[Ik]r@
:m:I:l:t	m{md	N	1.7	0.75	2/5	-62	175	_m{m[d@]
:m:I:l:t	m{mp	N	1.35	0.4	2/5	-58	140	_[m{]mp@
:f:r:i:k	fris	N	1.7	0.15	4/5	2	3	_fri[s]
:f:r:i:k	frid	N	1.55	0.0	4/5	4	6	_fri[d_]
:f:r:i:k	friv	N	1.7	0.15	4/5	-7	10	_fr[iv]I
:f:r:i:k	frip	N	1.75	0.2	4/5	-6	9	_fri[pr]
:f:r:i:k	frEs	N	1.7	0.15	3/5	-26	54	_f[rE]s@
:m:I:l:k	mIlp	N	1.8	0.35	4/5	-6	10	_mIl[pr]
:m:I:l:k	mIlv	N	1.8	0.35	4/5	-12	15	_mI[lv]I
:m:I:l:k	mIls	N	1.65	0.2	4/5	-9	18	_mI[ls]@
:m:I:l:k	mIl5	N	1.5	0.05	4/5	-9	18	_mI[l5]
:m:I:l:k	mImd	N	1.95	0.5	3/5	-21	38	_m[Im]d_
:m:I:l:k	mImQ	N	2.0	0.55	3/5	-21	46	_m[Im]Q
:w:2:t	{kr	N	1.9	0.95	1/4	-31	47	_{k[rI]
:w:2:t	{l1	N	1.15	0.2	1/4	26	49	_{[l1]
:w:2:t	wQk	N	1.0	0.05	1/2	30	60	_[wQ]k_
:w:2:t	w{l	N	1.25	0.3	1/2	-27	50	_[w{]l_
:w:2:t	n$n	N	1.0	0.05	1/4	-23	49	_[n]_nd
:d:r:7:R	dr8R	N	1.8	0.0	4/5	-3	4	_d[r8]R_
:d:r:7:R	drwI	N	2.0	0.2	3/5	-4	8	_d[rw]Is
:d:r:7:R	drw3	N	2.0	0.2	3/5	-4	9	_d[rw]3
:d:r:7:R	dr4l	N	1.75	-0.05	3/5	-4	9	_dr[4l]Q
:d:r:7:R	dr4n	N	1.75	-0.05	3/5	-7	13	_dr[4n]{
:d:r:7:R	dr8t	N	1.9	0.1	3/5	-7	12	_dr[8t]i
:w:Q::l:5	wQl$	N	1.9	0.25	5/6	12	17	_wQl[_]
:w:Q::l:5	wQlE	N	1.9	0.25	5/6	-17	24	_wQ[lE]k
:w:Q::l:5	nQl5	N	1.85	0.2	5/6	-23	43	_[n]Ql5_
:w:Q::l:5	nQlE	N	2.0	0.35	2/3	-23	67	_[n]QlEk
:w:Q::l:5	nQl$	N	2.0	0.35	2/3	-23	60	_[n]Ql_
:w:Q::l:5	wQli	N	1.9	0.25	5/6	-51	88	_wQ[li]
:k:j:9::r:I::5	kj9rIi	N	2.45	0.15	8/9	-8	12	_kj9rI[i]
:k:j:9::r:I::5	kj9rIE	N	2.45	0.15	8/9	-9	12	_kj9rI[Ek]
:k:j:9::r:I::5	kj9rIj	N	2.45	0.15	8/9	14	25	_kj9rI[ju]
:k:j:9::r:I::5	kj9rI2	N	2.4	0.1	8/9	10	18	_kj9rI[2z]
:k:j:9::r:I::5	kj9rI{	N	2.45	0.15	8/9	-15	18	_kj9rI[{n]
:k:j:9::r:I::5	kj9rI#	N	2.45	0.15	8/9	-23	24	_kj9rI[#]
:v:7::k:P	v8kP	N	1.9	0.05	5/6	15	29	_[v8]kP_
:v:7::k:P	v8ks	N	1.9	0.05	2/3	-16	51	_v8[ks]t
:v:7::k:P	v7ks	N	1.85	0.0	5/6	-16	22	_v7[ks]t
:v:7::k:P	v8k{	N	2.65	0.8	2/3	-19	52	_v8k[{]
:v:7::k:P	v6k{	N	2.6	0.75	2/3	-32	57	_v[6]k{
:v:7::k:P	v6kP	N	1.9	0.05	5/6	-32	34	_v[6]kP_
:p:E::r:I	pEdI	N	1.55	0.35	5/6	-46	81	_pE[dI]_
:p:E::r:I	p{nI	N	1.0	-0.2	2/3	77	145	_[p{]nI_
:p:E::r:I	pEr@	N	1.85	0.65	5/6	-128	250	_pEr[@n]
:p:E::r:I	p{p@	N	1.75	0.55	1/2	-164	415	_p{[p@]n
:p:E::r:I	p{pr	N	1.9	0.7	1/2	-245	587	_p{[pr]I
:p:E::r:I	p{mI	N	1.35	0.15	2/3	-148	508	_p{m[IN]
:b:#::n:j:5	b#nj{	N	2.8	0.2	6/7	5	9	_b#nj[{n]
:b:#::n:j:5	b#n$p	N	2.9	0.3	5/7	-7	12	_b#[n_]p
:b:#::n:j:5	b#pld	N	2.45	-0.15	4/7	-8	13	_b#pl[d@]
:b:#::n:j:5	b#njE	N	2.8	0.2	6/7	-11	14	_b#nj[Es]
:b:#::n:j:5	b#n$n	N	2.6	0.0	5/7	12	30	_b#n[_n]d
:b:#::n:j:5	b#n$d	N	2.3	-0.3	5/7	12	30	_b#n_[d]
:w:Q:m::b:{:t	wQmb$t	N	2.85	0.2	7/8	0	0	[_]wQmb_t_
:w:Q:m::b:{:t	wQmblt	N	2.85	0.2	7/8	-6	7	_wQm[bl]t_
:w:Q:m::b:{:t	wQmb5t	N	2.65	0.0	7/8	-15	29	_wQm[b5]t_
:w:Q:m::b:{:t	wQmb6t	N	2.8	0.15	7/8	-32	35	_wQm[b6]t_
:w:Q:m::b:{:t	wQmbVt	N	2.85	0.2	7/8	-26	28	_wQm[bV]t_
:w:Q:m::b:{:t	wQmbUt	N	2.85	0.2	7/8	-27	34	_wQm[bU]t_
:b:I::z:#:R	bIz7R	N	1.9	0.05	6/7	12	15	_bIz[7R]_
:b:I::z:#:R	bIg3R	N	2.0	0.15	5/7	-12	18	_bI[g]3R_
:b:I::z:#:R	bIg#R	N	1.9	0.05	6/7	-12	16	_bI[g]#R_
:b:I::z:#:R	bIz3R	N	1.95	0.1	6/7	26	30	_bI[z3]R_
:b:I::z:#:R	bIg$R	N	1.95	0.1	5/7	23	41	_bI[g_]R_
:b:I::z:#:R	bI@$n	N	2.45	0.6	4/7	-113	215	_bI[@]_n
:S:E::k:P	SEks	N	1.65	-0.05	5/6	-16	22	_SE[ks]t
:S:E::k:P	S{ks	N	1.45	-0.25	2/3	-31	83	_S[{]kst
:S:E::k:P	S{k{	N	1.85	0.15	2/3	-31	84	_S[{]k{
:S:E::k:P	SEk{	N	1.95	0.25	5/6	-19	23	_SEk[{]
:S:E::k:P	S{kE	N	1.85	0.15	2/3	49	142	_S{k[E]
:S:E::k:P	S{kt	N	1.6	-0.1	2/3	-34	111	_S{[kt]r
:t:@::b:u	t@bQ	N	2.3	0.45	5/6	8	11	_t@[bQ]n
:t:@::b:u	t@b2	N	1.95	0.1	5/6	7	8	_t@[b2]n
:t:@::b:u	t@bz	N	1.95	0.1	5/6	-5	7	_t@[bz]_
:t:@::b:u	t@bi	N	1.95	0.1	5/6	-14	23	_t@b[in]
:t:@::b:u	t@b8	N	2.3	0.45	5/6	-9	10	_t@b[8]
:t:@::b:u	t@bE	N	2.2	0.35	5/6	13	25	_t@[bE]t
:w:Q::l:@	nQl@	N	1.9	0.15	5/6	-23	50	_[n]Ql@d
:w:Q::l:@	wil@	N	1.75	0.0	5/6	-53	150	_w[i]l@z
:w:Q::l:@	nil@	N	1.85	0.1	2/3	-53	180	_n[i]l@z
:w:Q::l:@	w2l@	N	1.8	0.05	5/6	-101	184	_w[2]l@z
:w:Q::l:@	g2l@	N	1.9	0.15	2/3	115	337	_[g]2l@z
:w:Q::l:@	g@l@	N	1.95	0.2	2/3	115	325	_[g]@l@z
:k:w:E:l	kwEp	N	1.9	0.25	4/5	-1	1	_kw[Ep]l
:k:w:E:l	kwit	N	1.55	-0.1	3/5	2	3	_kwi[tE]
:k:w:E:l	kwEt	N	1.6	-0.05	4/5	-4	7	_kw[Et]P
:k:w:E:l	kwEk	N	1.7	0.05	4/5	4	8	_kw[Ek]Q
:k:w:E:l	kwip	N	1.7	0.05	3/5	-4	4	_kw[ip]l
:k:w:E:l	kwik	N	1.4	-0.25	3/5	-7	11	_kw[ik]Q
:b:4	bj	N	1.6	0.4	2/3	-4	6	_b[j5]
:b:4	b8	N	1.4	0.2	2/3	4	7	_[b8]n
:b:4	b9	N	1.5	0.3	2/3	-13	17	_[b9]s
:b:4	b@	N	1.5	0.3	2/3	11	15	_[b@]s
:b:4	b7	N	1.4	0.2	2/3	-13	14	_[b7]l
:b:4	b$	N	1.0	-0.2	2/3	27	29	_[b_]p
:@::d:r:E:s	@ts2d	N	1.9	0.15	3/7	-16	65	_@[t]s2d_
:@::d:r:E:s	@trEs	N	1.75	0.0	6/7	-16	19	_@[t]rEs_
:@::d:r:E:s	@ds2d	N	1.95	0.2	4/7	-16	50	_@ds[2d]_
:@::d:r:E:s	@mdPd	N	2.9	1.15	3/7	29	86	_@[m]dPd_
:@::d:r:E:s	@mfrU	N	2.95	1.2	3/7	29	76	_@[m]frU
:@::d:r:E:s	@mf$d	N	2.4	0.65	3/7	29	82	_@[m]f_d_
:_:E:n::S:H	_En_V	N	2.7	0.75	5/7	-16	36	__En_[Vl]
:_:E:n::S:H	_En_E	N	2.7	0.75	5/7	-14	30	__En_[Et]
:_:E:n::S:H	_En_9	N	2.7	0.75	5/7	-16	33	__En[_9]
:_:E:n::S:H	_En_$	N	2.7	0.75	5/7	-12	24	__En[_]_d
:_:E:n::S:H	_En_i	N	2.6	0.65	5/7	-16	39	__En[_i]n
:_:E:n::S:H	_En_I	N	1.95	0.0	5/7	15	41	__En[_I]l
:j:#:d	jQd	N	1.1	-0.2	3/4	3	3	_[jQ]d_
:j:#:d	jUk	N	1.6	0.3	1/2	8	17	_jU[k_]
:j:#:d	jVk	N	1.25	-0.05	1/2	8	16	_jV[k_]
:j:#:d	j@b	N	1.95	0.65	1/2	-6	13	_[j@]b
:j:#:d	jid	N	1.3	0.0	3/4	-7	8	_j[id]_
:j:#:d	j$d	N	1.2	-0.1	3/4	-14	15	_j[_d]_
:s:t:r:I:p	strId	N	1.75	0.2	5/6	-2	2	_strI[d]
:s:t:r:I:p	strIt	N	1.65	0.1	5/6	-1	1	_strI[t{]
:s:t:r:I:p	strIg	N	1.85	0.3	5/6	3	6	_str[Ig]r
:s:t:r:I:p	strIS	N	1.9	0.35	5/6	6	6	_strI[S@]
:s:t:r:I:p	strIm	N	1.75	0.2	5/6	-6	8	_strI[m{]
:s:t:r:I:p	strIf	N	1.7	0.15	5/6	-14	21	_str[If]@
:s:w:E:l::t:@:R	s2lut@R	N	2.65	0.7	2/3	-7	22	_s2l[u]t@R_
:s:w:E:l::t:@:R	s2lzt@R	N	2.8	0.85	2/3	6	16	_s[2l]zt@R_
:s:w:E:l::t:@:R	s2dzt@R	N	2.9	0.95	2/3	5	13	_[s2]dzt@R_
:s:w:E:l::t:@:R	s2m1t@R	N	2.85	0.9	2/3	-13	37	_s2[m1]t@R_
:s:w:E:l::t:@:R	s2mzt@R	N	2.9	0.95	2/3	-13	31	_s2[mz]t@R_
:s:w:E:l::t:@:R	s2mit@R	N	2.85	0.9	2/3	-10	27	_s2[mi]t@R_
:f:Q::l:5	fQl$	N	1.85	0.3	5/6	12	17	_fQl[_]
:f:Q::l:5	fQlE	N	1.9	0.35	5/6	-17	24	_fQ[lE]k
:f:Q::l:5	fQli	N	1.85	0.3	5/6	-51	88	_fQ[li]
:f:Q::l:5	fQl{	N	1.9	0.35	5/6	-41	72	_fQl[{n]
:f:Q::l:5	fQlu	N	1.85	0.3	5/6	-44	49	_fQ[lu]
:f:Q::l:5	fQl1	N	1.75	0.2	5/6	-56	94	_fQl[1_]
:S:i:p	SQs	N	1.4	0.45	1/2	4	9	_S[Qs]_
:S:i:p	S5m	N	1.3	0.35	1/2	-4	7	_S[5m]_
:S:i:p	S5p	N	1.1	0.15	3/4	-4	7	_S[5p]_
:S:i:p	S#m	N	1.3	0.35	1/2	-8	13	_S[#m]_
:S:i:p	S$s	N	1.55	0.6	1/2	7	14	_[S_]s_
:S:i:p	S3s	N	1.45	0.5	1/2	-8	19	_S[3s]_
:S:i:t	S#n	N	1.35	0.4	1/2	6	16	_S[#n]d
:S:i:t	S3n	N	1.25	0.3	1/2	-7	17	_[S3]nd
:S:i:t	SEt	N	1.0	0.05	3/4	8	8	_S[Et]_
:S:i:t	S5n	N	1.05	0.1	1/2	6	14	_S[5n]d
:S:i:t	S5t	N	1.0	0.05	3/4	-5	8	_S[5t]_
:S:i:t	S2v	N	1.4	0.45	1/2	-11	29	_[S2]v@
:t:I:l:t	t{kl	N	1.75	0.5	2/5	29	89	_t[{k]l@
:t:I:l:t	t{kr	N	1.75	0.5	2/5	29	73	_t[{k]r@
:t:I:l:t	tIkt	N	1.6	0.35	4/5	-27	68	_t[Ik]t
:t:I:l:t	tIkl	N	1.85	0.6	3/5	-29	74	_tI[kl]@
:t:I:l:t	tIks	N	1.4	0.15	3/5	-30	86	_tIk[sp]
:t:I:l:t	tIkr	N	1.9	0.65	3/5	-27	58	_t[Ik]r@
:k:@::r:5::n:@	k@rEn@	N	2.35	0.2	8/9	-31	55	_k@r[E]n@_
:k:@::r:5::n:@	k@dEt@	N	2.8	0.65	2/3	-64	236	_k@[dE]t@m
:k:@::r:5::n:@	k@dEn@	N	2.65	0.5	7/9	-64	171	_k@[dE]n@m
:k:@::r:5::n:@	k@n5t@	N	2.65	0.5	7/9	-41	161	_k@n5t[@m]
:k:@::r:5::n:@	k@n5n@	N	2.6	0.45	8/9	-41	96	_k@n5n[@m]
:k:@::r:5::n:@	k@pEt@	N	2.85	0.7	2/3	-50	202	_k@[pE]t@m
:m:#::m:5::z:E:t	m#m5z2t	N	3.65	0.2	9/10	2	2	_m#m5z[2t]_
:m:#::m:5::z:E:t	m#m5Ipt	N	3.5	0.05	4/5	-16	42	_m#m5I[pt]_
:m:#::m:5::z:E:t	m#m5Ift	N	3.35	-0.1	4/5	-16	30	_m#m5I[ft]_
:m:#::m:5::z:E:t	m#m5z5t	N	3.7	0.25	9/10	-14	16	_m#m5z[5t]_
:m:#::m:5::z:E:t	m#m5zHt	N	3.7	0.25	9/10	10	11	_m#m5[zH]t_
:m:#::m:5::z:E:t	m#m5zQt	N	3.7	0.25	9/10	-13	14	_m#m5z[Qt]_
:S:i:f	SQf	N	1.5	0.3	3/4	3	4	_S[Qf]_
:S:i:f	SQJ	N	1.65	0.45	1/2	-4	7	_SQ[J]
:S:i:f	S#m	N	1.3	0.1	1/2	6	11	_S[#m]p
:S:i:f	S#f	N	1.45	0.25	3/4	-5	8	_[S#]f_
:S:i:f	S$m	N	1.45	0.25	1/2	7	8	_[S_]mp
:S:i:f	S5d	N	1.0	-0.2	1/2	8	16	_S[5d]I
:d:I::k:r:i	dIkr{	N	2.3	0.4	6/7	-8	10	_dIkr[{m]
:d:I::k:r:i	dIkrQ	N	2.3	0.4	6/7	-5	9	_dIkr[Qt]
:d:I::k:r:i	dIkru	N	1.95	0.05	6/7	-14	18	_dIk[ru]_
:d:I::k:r:i	dIkrV	N	2.3	0.4	6/7	-29	45	_dIk[rV]_
:d:I::k:r:i	dIkrU	N	2.25	0.35	6/7	-18	36	_dIk[rU]t
:d:I::k:r:i	dIkr7	N	2.25	0.35	6/7	-25	35	_dIk[r7]R
:S:i:k	S5k	N	1.0	0.05	3/4	3	4	_[S5]k_
:S:i:k	S#n	N	1.35	0.4	1/2	7	18	_S[#n]_
:S:i:k	S$k	N	1.0	0.05	3/4	7	8	_[S_]k_
:S:i:k	S$d	N	1.05	0.1	1/2	-8	19	_S_[d_]
:S:i:k	S5n	N	1.05	0.1	1/2	7	16	_S[5n]_
:S:i:k	S5d	N	1.0	0.05	1/2	-8	14	_S5[d_]
:k:l:{::r:@::n:E:t	kl{r@n{t	N	3.0	0.2	10/11	-6	10	_kl{r@[n{]t_
:k:l:{::r:@::n:E:t	kl{r@n7t	N	3.05	0.25	10/11	-7	13	_kl{r@[n7]t_
:k:l:{::r:@::n:E:t	kl{r@nQt	N	3.0	0.2	10/11	-7	12	_kl{r@[nQ]t_
:k:l:{::r:@::n:E:t	kl{r@nit	N	3.05	0.25	10/11	-8	16	_kl{r@[ni]t_
:k:l:{::r:@::n:E:t	kl{r@nJt	N	3.1	0.3	10/11	-11	20	_kl{r@[nJ]t_
:k:l:{::r:@::n:E:t	kl{r@n5t	N	3.05	0.25	10/11	-9	18	_kl{r@[n5]t_
:S:i:n	SQl	N	1.2	0.2	1/2	-3	4	_SQ[l_]
:S:i:n	SVg	N	1.1	0.1	1/2	-3	4	_[SV]g
:S:i:n	S5n	N	1.05	0.05	3/4	3	5	_[S5]n_
:S:i:n	S#n	N	1.35	0.35	3/4	-5	7	_[S#]n_
:S:i:n	S5k	N	1.0	0.0	1/2	-8	17	_S[5k]_
:S:i:n	Sil	N	1.0	0.0	3/4	5	8	_S[il]_
:s:t:6:t	stun	N	1.45	-0.05	3/5	-4	7	_stu[n]
:s:t:6:t	stum	N	1.65	0.15	3/5	-3	6	_stu[mI]
:s:t:6:t	st@n	N	1.65	0.15	3/5	5	9	_s[t@]n
:s:t:6:t	stTr	N	2.0	0.5	3/5	-10	23	_st[Tr]@
:s:t:6:t	st8t	N	1.65	0.15	4/5	-16	29	_st8[t]
:s:t:6:t	stut	N	1.4	-0.1	4/5	-16	26	_stu[t]
:S:i:T	SQT	N	1.65	0.25	3/4	2	3	_S[QT]_
:S:i:T	SQ_	N	1.65	0.25	1/2	4	6	_SQ[__]
:S:i:T	SV_	N	1.6	0.2	1/2	4	8	_SV[__]
:S:i:T	Si_	N	1.5	0.1	3/4	4	5	_Si[__]
:S:i:T	Sig	N	1.5	0.1	3/4	-3	4	_S[ig]r
:S:i:T	SEN	N	1.85	0.45	1/2	4	8	_S[EN]_
:k:{::b:@::r:1	k{b@r7	N	2.75	0.15	8/9	-9	17	_k{b@[r7]s
